date,price_usd,unit,basis,source,reconstructed
2024-01-10,13.00,carton,wholesale,,true
2024-01-17,13.00,carton,wholesale,,true
2024-01-24,13.00,carton,wholesale,,true
2024-01-31,13.00,carton,wholesale,,true
2024-02-07,13.00,carton,wholesale,,true
2024-02-14,13.00,carton,wholesale,,true
2024-02-21,13.00,carton,wholesale,,true
2024-02-28,13.00,carton,wholesale,,true
2024-03-06,13.00,carton,wholesale,,true
2024-03-13,13.00,carton,wholesale,,true
2024-03-20,13.00,carton,wholesale,,true
2024-03-27,13.00,carton,wholesale,,true
2024-04-03,13.00,carton,wholesale,,true
2024-04-10,13.00,carton,wholesale,,true
2024-04-17,13.00,carton,wholesale,,true
2024-04-24,13.00,carton,wholesale,,true
2024-05-01,13.00,carton,wholesale,,true
2024-05-08,13.00,carton,wholesale,,true
2024-05-15,13.00,carton,wholesale,,true
2024-05-22,13.00,carton,wholesale,,true
2024-05-29,13.00,carton,wholesale,,true
2024-06-05,13.15,carton,wholesale,,true
2024-06-12,13.25,carton,wholesale,,true
2024-06-18,13.25,carton,wholesale,,true
2024-06-26,13.25,carton,wholesale,,true
2024-07-03,13.25,carton,wholesale,,true
2024-07-10,13.25,carton,wholesale,,true
2024-07-17,13.25,carton,wholesale,,true
2024-07-24,13.25,carton,wholesale,,true
2024-07-31,13.25,carton,wholesale,,true
2024-08-07,13.25,carton,wholesale,,true
2024-08-14,13.25,carton,wholesale,,true
2024-08-21,13.25,carton,wholesale,,true
2024-08-28,13.25,carton,wholesale,,true
2024-09-04,13.25,carton,wholesale,,true
2024-09-11,13.25,carton,wholesale,,true
2024-09-18,13.25,carton,wholesale,,true
2024-09-25,13.25,carton,wholesale,,true
2024-10-02,13.25,carton,wholesale,,true
2024-10-09,13.25,carton,wholesale,,true
2024-10-16,13.25,carton,wholesale,,true
2024-10-23,13.25,carton,wholesale,,true
2024-10-30,13.25,carton,wholesale,,true
2024-11-06,13.25,carton,wholesale,,true
2024-11-13,13.25,carton,wholesale,,true
2024-11-20,13.25,carton,wholesale,,true
2024-11-27,13.25,carton,wholesale,,true
2024-12-04,13.25,carton,wholesale,,true
2024-12-11,13.25,carton,wholesale,,true
2024-12-18,13.25,carton,wholesale,,true
