date,price_usd,unit,basis,source,reconstructed
2026-05-28,18.75,carton,wholesale,usda-ams-boston,false
2026-05-29,18.75,carton,wholesale,usda-ams-boston,false
2026-06-01,18.75,carton,wholesale,usda-ams-boston,false
2026-06-02,18.75,carton,wholesale,usda-ams-boston,false
2026-06-03,18.75,carton,wholesale,usda-ams-boston,false
2026-06-04,18.75,carton,wholesale,usda-ams-boston,false
2026-06-05,18.75,carton,wholesale,usda-ams-boston,false
2026-06-08,18.75,carton,wholesale,usda-ams-boston,false
2026-06-09,18.75,carton,wholesale,usda-ams-boston,false
2026-06-10,18.75,carton,wholesale,usda-ams-boston,false
2026-06-11,18.75,carton,wholesale,usda-ams-boston,false
2026-06-12,18.75,carton,wholesale,usda-ams-boston,false
2026-06-15,18.75,carton,wholesale,usda-ams-boston,false
2026-06-16,18.75,carton,wholesale,usda-ams-boston,false
2026-06-17,18.75,carton,wholesale,usda-ams-boston,false
2026-06-18,18.75,carton,wholesale,usda-ams-boston,false
2026-06-22,18.75,carton,wholesale,usda-ams-boston,false
2026-06-23,18.75,carton,wholesale,usda-ams-boston,false
2026-06-24,18.75,carton,wholesale,usda-ams-boston,false
2026-06-25,18.75,carton,wholesale,usda-ams-boston,false
2026-06-26,18.75,carton,wholesale,usda-ams-boston,false
2026-06-29,18.75,carton,wholesale,usda-ams-boston,false
2026-06-30,18.75,carton,wholesale,usda-ams-boston,false
2026-07-01,18.75,carton,wholesale,usda-ams-boston,false
2026-07-02,18.75,carton,wholesale,usda-ams-boston,false
2026-07-06,18.75,carton,wholesale,usda-ams-boston,false
