date,price_usd,unit,basis,source,reconstructed
2026-05-28,48.00,carton,wholesale,usda-ams-boston,false
2026-05-29,48.25,carton,wholesale,usda-ams-boston,false
2026-06-01,45.75,carton,wholesale,usda-ams-boston,false
2026-06-02,41.00,carton,wholesale,usda-ams-boston,false
2026-06-03,41.00,carton,wholesale,usda-ams-boston,false
2026-06-04,40.00,carton,wholesale,usda-ams-boston,false
2026-06-05,39.00,carton,wholesale,usda-ams-boston,false
2026-06-08,34.00,carton,wholesale,usda-ams-boston,false
2026-06-09,34.00,carton,wholesale,usda-ams-boston,false
2026-06-10,34.00,carton,wholesale,usda-ams-boston,false
2026-06-11,30.00,carton,wholesale,usda-ams-boston,false
2026-06-12,28.00,carton,wholesale,usda-ams-boston,false
2026-06-15,27.00,carton,wholesale,usda-ams-boston,false
2026-06-16,25.00,carton,wholesale,usda-ams-boston,false
2026-06-17,25.00,carton,wholesale,usda-ams-boston,false
2026-06-18,25.00,carton,wholesale,usda-ams-boston,false
2026-06-22,25.00,carton,wholesale,usda-ams-boston,false
2026-06-23,24.00,carton,wholesale,usda-ams-boston,false
2026-06-24,24.00,carton,wholesale,usda-ams-boston,false
2026-06-25,23.00,carton,wholesale,usda-ams-boston,false
2026-06-26,23.00,carton,wholesale,usda-ams-boston,false
2026-06-29,22.50,carton,wholesale,usda-ams-boston,false
2026-06-30,22.50,carton,wholesale,usda-ams-boston,false
2026-07-01,22.50,carton,wholesale,usda-ams-boston,false
2026-07-02,22.50,carton,wholesale,usda-ams-boston,false
2026-07-06,22.50,carton,wholesale,usda-ams-boston,false
