date,price_usd,unit,basis,source,reconstructed
2026-06-03,26.50,carton,wholesale,usda-ams-boston,false
2026-06-04,26.50,carton,wholesale,usda-ams-boston,false
2026-06-05,26.50,carton,wholesale,usda-ams-boston,false
2026-06-08,26.50,carton,wholesale,usda-ams-boston,false
2026-06-09,16.50,carton,wholesale,usda-ams-boston,false
2026-06-10,16.50,carton,wholesale,usda-ams-boston,false
2026-06-11,16.50,carton,wholesale,usda-ams-boston,false
2026-06-12,16.50,carton,wholesale,usda-ams-boston,false
2026-06-15,16.50,carton,wholesale,usda-ams-boston,false
2026-06-16,16.50,carton,wholesale,usda-ams-boston,false
2026-06-17,16.50,carton,wholesale,usda-ams-boston,false
2026-06-18,16.50,carton,wholesale,usda-ams-boston,false
2026-06-22,16.50,carton,wholesale,usda-ams-boston,false
2026-06-23,16.50,carton,wholesale,usda-ams-boston,false
2026-06-24,16.50,carton,wholesale,usda-ams-boston,false
2026-06-25,13.00,carton,wholesale,usda-ams-boston,false
2026-06-26,13.00,carton,wholesale,usda-ams-boston,false
2026-06-29,12.75,carton,wholesale,usda-ams-boston,false
2026-06-30,12.75,carton,wholesale,usda-ams-boston,false
2026-07-01,12.75,carton,wholesale,usda-ams-boston,false
2026-07-02,12.75,carton,wholesale,usda-ams-boston,false
2026-07-06,12.75,carton,wholesale,usda-ams-boston,false
2026-07-07,11.00,carton,wholesale,usda-ams-boston,false
2026-07-08,11.00,carton,wholesale,usda-ams-boston,false
2026-07-09,11.00,carton,wholesale,usda-ams-boston,false
2026-07-10,11.00,carton,wholesale,usda-ams-boston,false
